spike_source,feature_type,decode_window_s,update_dt_s,n_units,target_name,decoder_name,n_train_samples,n_test_samples,mean_position_error_cm,median_position_error_cm,p90_position_error_cm,r2_x,r2_y,r2,correlation,mae,rmse,mean_circular_error_deg,median_circular_error_deg,p90_circular_error_deg,mae_cm,rmse_cm,accuracy,balanced_accuracy,macro_f1,confusion_matrix,class_labels
sorted,counts,0.05,0.025,200,wall_distance_bin,logistic_regression,16799,7200,,,,,,,,,,,,,,,0.7198611111111111,0.6998504673561882,0.6249735349702225,"[[301, 74, 15], [310, 990, 494], [124, 1000, 3892]]","['center', 'middle', 'near_wall']"
sorted,counts,0.05,0.025,200,wall_distance_bin,random_forest_classifier,16799,7200,,,,,,,,,,,,,,,0.7184722222222222,0.6700920043597388,0.5913368196379074,"[[308, 54, 28], [367, 700, 727], [158, 693, 4165]]","['center', 'middle', 'near_wall']"
sorted,counts,0.1,0.025,200,position,ridge,16798,7199,18.931245731823044,16.77625901589068,34.47593677717471,0.7672310673805611,0.7917883695238117,,,,,,,,,,,,,,
sorted,counts,0.1,0.025,200,position,random_forest_regressor,16798,7199,20.06427239021882,16.249227494953658,39.43873540160957,0.7004576921149774,0.7364330988855703,,,,,,,,,,,,,,
sorted,counts,0.1,0.025,200,speed,ridge,16798,7199,,,,,,0.5267505544417996,0.7321850043249958,2.8524339836532935,3.5672447067318087,,,,,,,,,,
sorted,counts,0.1,0.025,200,speed,random_forest_regressor,16798,7199,,,,,,0.4302144891874228,0.6685574163658458,3.103527773179965,3.914204806718056,,,,,,,,,,
sorted,counts,0.1,0.025,200,acceleration,ridge,16798,7199,,,,,,0.0003140668296190974,0.0848479803720758,34.829683569879215,56.72704878236797,,,,,,,,,,
sorted,counts,0.1,0.025,200,acceleration,random_forest_regressor,16798,7199,,,,,,0.007350547826935561,0.08705786052197784,32.983837774266554,56.52705413438537,,,,,,,,,,
sorted,counts,0.1,0.025,200,head_direction,ridge,16798,7199,,,,,,,,,,17.75164525652704,14.279773067468637,37.29600822923648,,,,,,,
sorted,counts,0.1,0.025,200,head_direction,random_forest_regressor,16798,7199,,,,,,,,,,22.65019930316887,17.48446540760134,48.00172330357036,,,,,,,
sorted,counts,0.1,0.025,200,distance_to_wall,ridge,16798,7199,,,,,,0.5635059225199719,0.7618978985791582,,,,,,5.123510227062392,6.509575285063562,,,,,
